,2000  1  1   1 19 28.30  41.950N   20.630E   5.0 4.8
1929,2004  1 16  22 58 16.60  37.640N   20.890E  18.0 4.0
1930,2004  1 17  11 46 38.80  37.720N   21.740E   8.0 3.8
1931,2004  1 18  12 43 35.90  39.880N   24.400E  30.0 3.8
1932,2004  1 18  20 24 23.40  36.000N   27.330E  23.0 3.9
1933,2004  1 22  19 37  6.80  34.890N   21.120E  36.0 3.7
1934,2004  1 22  23 30 37.20  34.940N   24.820E   5.0 3.7
1935,2004  1 27   6 24  5.40  40.140N   19.610E  19.0 3.8
1936,2004  1 29   3  6 43.10  38.860N   23.260E  20.0 3.7
1937,2004  1 29   6 34 35.50  40.600N   27.280E  35.0 3.7
1938,2004  1 29  13 12 18.50  35.370N   27.760E   9.0 3.7
1939,2004  1 31  20  3  9.40  36.550N   26.790E  45.0 3.7
1940,2004  2  4   5 36 11.00  40.120N   19.380E  26.0 4.3
1941,2004  2  5   2 51 39.60  40.260N   19.580E   5.0 3.8
1942,2004  2  5  20 52  7.80  34.830N   24.920E   5.0 4.0
1943,2004  2  6  19 13 32.20  34.710N   25.070E  37.0 3.8
1944,2004  2  6  19 15 41.80  34.630N   25.140E  31.0 3.7
1945,2004  2  6  19 20 22.40  34.640N   25.170E  34.0 3.8
1946,2004  2  7  21 17 24.20  36.040N   26.910E  25.0 5.0
1947,2004  2  7  21 40 20.60  36.360N   27.180E  51.0 3.8
1948,2004  2  9   3 48 12.30  36.090N   22.350E  20.0 4.6
1949,2004  2 11   0 52 30.00  35.940N   29.220E  33.0 4.5
1950,2004  2 12  21 50  6.60  39.860N   20.350E  25.0 4.0
1951,2004  2 15   3  8 21.30  37.940N   20.070E   5.0 3.8
1952,2004  2 15   7 15 56.80  36.480N   21.760E  30.0 3.7
1953,2004  2 17   8 54  8.90  38.600N   21.620E  12.0 4.0
1954,2004  2 17  15 56 47.50  38.070N   22.640E  23.0 3.9
1955,2004  2 18   3 20 53.10  40.110N   19.810E  13.0 4.3
1956,2004  2 18   4 54  0.60  38.610N   21.630E  14.0 3.8
1957,2004  2 19   4  9 51.90  37.080N   28.640E   7.0 4.3
1958,2004  2 27   6 46 34.60  40.110N   19.840E   5.0 3.7
1959,2004  3  1   0 35 57.50  37.190N   22.140E  14.0 5.0
1960,2004  3 11  12 54 58.50  38.380N   19.790E  30.0 4.5
1961,2004  3 12   1 52 19.50  38.820N   20.500E  10.0 3.9
1962,2004  3 14   5  0 18.50  41.920N   20.380E   5.0 3.9
1963,2004  3 15   8 35 22.10  38.210N   20.230E   4.0 3.7
1964,2004  3 16   6 34 31.50  36.130N   21.640E   5.0 3.7
1965,2004  3 17   3 38 41.70  35.770N   22.620E  43.0 3.7
1966,2004  3 17   5 20 58.20  34.460N   23.260E  24.0 6.0
1967,2004  3 18   1 13  0.60  41.010N   22.070E  16.0 3.8
1968,2004  3 18   1 57 13.30  40.910N   22.190E  15.0 3.7
1969,2004  3 18   4 55 28.60  34.890N   23.660E  30.0 3.9
1970,2004  3 18  15 14 27.60  36.300N   26.540E 113.0 4.1
1971,2004  3 20  16 23 41.00  35.150N   27.490E  19.0 4.0
1972,2004  3 21   2 33 31.30  35.950N   21.870E   6.0 3.9
1973,2004  3 21   3 18 53.40  41.640N   19.700E  33.0 4.7
1974,2004  3 22   9 52 14.40  34.760N   24.800E  22.0 3.7
1975,2004  3 24   4 38 40.30  38.930N   26.720E  31.0 4.2
1976,2004  3 25  20 40 53.10  34.420N   26.530E  25.0 4.3
1977,2004  3 25  20 51 15.40  34.740N   26.300E  30.0 3.7
1978,2004  3 25  23 45 11.40  34.540N   26.450E  26.0 3.8
1979,2004  3 27   0  0 39.10  40.310N   26.800E  10.0 3.7
1980,2004  3 27   2 56 19.30  34.290N   26.530E  21.0 3.7
1981,2004  3 27  10 39 24.60  40.500N   23.800E   5.0 3.8
1982,2004  3 28  14 54 36.80  35.530N   22.940E  83.0 4.4
1983,2004  3 30   8  7 34.40  39.280N   24.130E  38.0 4.2
1984,2004  4  4   1  9 43.80  39.400N   20.520E   5.0 3.7
1985,2004  4  5  17 13  9.70  35.810N   27.540E  23.0 4.3
1986,2004  4  6   8 47 15.00  34.960N   25.100E   7.0 4.1
1987,2004  4  7   1 32 28.30  40.650N   20.380E  90.0 4.7
1988,2004  4  9   9 35  0.70  38.570N   20.510E   5.0 3.7
1989,2004  4 12   0  0  8.40  37.300N   20.480E  18.0 3.7
1990,2004  4 12  22 29  0.40  36.110N   23.490E  20.0 4.0
1991,2004  4 15  13 54 23.80  34.690N   24.830E  82.0 4.3
1992,2004  4 19   5 18 12.40  38.840N   26.510E  43.0 3.8
1993,2004  4 19  15 27 12.60  40.730N   27.900E  19.0 4.3
1994,2004  4 19  23  0 44.20  34.360N   26.150E  36.0 4.3
1995,2004  4 21   1  5  0.40  39.490N   26.420E   5.0 3.8
1996,2004  4 21  10 38 36.20  38.450N   21.470E  14.0 3.7
1997,2004  4 23  20 55 38.40  36.110N   21.640E   5.0 3.8
1998,2004  4 26  13 22 21.50  41.950N   23.190E  23.0 3.8
1999,2004  4 26  16 57 39.20  36.650N   26.750E 157.0 3.8
2000,2004  4 26  18 46 18.80  34.690N   23.830E  18.0 3.9
2001,2004  4 28   0 38  4.30  36.100N   21.940E  18.0 3.8
2002,2004  4 28   7 26 58.40  38.320N   21.820E  15.0 4.1
2003,2004  4 29  18 27 45.90  35.170N   27.420E  20.0 3.7
2004,2004  4 30  19 13 43.00  35.970N   22.060E   5.0 3.8
2005,2004  5  1   5 55  2.40  37.370N   26.670E  26.0 3.7
2006,2004  5  3  16 24 18.10  36.860N   21.630E  14.0 3.8
2007,2004  5  7  22 28 19.20  36.470N   28.930E  59.0 3.9
2008,2004  5 11  20  4  5.60  35.260N   23.280E   5.0 3.8
2009,2004  5 12   3 23 16.10  35.980N   29.230E  34.0 3.7
2010,2004  5 12  20 34 29.20  38.120N   20.740E  14.0 3.8
2011,2004  5 12  20 53  4.30  34.050N   24.170E   4.0 4.0
2012,2004  5 13   1 47 21.10  36.540N   25.450E  26.0 4.2
2013,2004  5 14  21 34  8.30  34.230N   25.250E  16.0 4.2
2014,2004  5 20   5 59 32.00  37.870N   20.580E  14.0 3.7
2015,2004  5 20  17 15 24.60  41.030N   19.230E  45.0 3.8
2016,2004  5 21   2 26 38.50  37.900N   20.740E   7.0 4.1
2017,2004  5 22  14  4 35.40  34.510N   24.020E  26.0 3.8
2018,2004  5 24  23 54 56.50  39.390N   20.570E   6.0 3.9
2019,2004  5 25   5 34 25.10  35.920N   27.180E   5.0 4.7
2020,2004  5 30   6 59  7.50  37.040N   21.470E  17.0 4.6
2021,2004  5 30  21 23 29.50  37.880N   20.660E  18.0 4.0
2022,2004  5 30  21 35 37.80  37.860N   20.670E  11.0 3.9
2023,2004  5 30  21 44 12.10  37.940N   20.710E  19.0 3.8
2024,2004  5 31   3  6 30.00  37.070N   21.500E  15.0 4.0
2025,2004  5 31   6 30 39.80  37.100N   21.510E  16.0 4.5
2026,2004  5 31  18  0 42.40  36.500N   27.140E  16.0 3.9
2027,2004  6  4  12 58 49.80  35.290N   27.120E  18.0 3.9
2028,2004  6  4  19 45  5.80  36.780N   26.620E  30.0 4.4
2029,2004  6  7   0 55 52.60  35.320N   22.750E  14.0 3.7
2030,2004  6  7  14 54 49.20  34.840N   24.920E   4.0 4.0
2031,2004  6 12  11 45 22.10  36.700N   26.850E 153.0 4.0
2032,2004  6 12  17 46  5.60  35.740N   29.610E  50.0 3.9
2033,2004  6 13   6 45 16.30  38.760N   26.630E  31.0 3.7
2034,2004  6 13   6 48 33.70  40.330N   25.710E  27.0 3.8
2035,2004  6 14   4  6 40.30  35.240N   27.140E  22.0 4.4
2036,2004  6 15  12  2 38.50  40.340N   25.770E  21.0 4.5
2037,2004  6 17  11 58 24.50  34.640N   24.540E  37.0 4.1
2038,2004  6 17  21 35 20.20  40.280N   21.230E   8.0 3.9
2039,2004  6 19   8  8 50.60  37.960N   26.560E  16.0 3.8
2040,2004  6 19  21 27 26.70  39.810N   24.660E  14.0 3.8
2041,2004  6 19  21 44 48.60  41.510N   20.030E  14.0 4.2
2042,2004  6 20   0 35 26.10  34.850N   25.030E  14.0 3.7
2043,2004  6 24  19 25 57.50  35.950N   21.310E   5.0 4.0
2044,2004  6 25   4 30 45.00  39.710N   20.870E   5.0 3.7
2045,2004  6 25   9  0 15.30  39.690N   20.940E   5.0 3.7
2046,2004  6 26  18 23 57.90  37.350N   28.720E  37.0 4.0
2047,2004  6 27   1 56 58.30  35.230N   27.170E  15.0 3.9
2048,2004  6 27  10 40 25.40  35.140N   27.250E   5.0 3.7
2049,2004  6 27  15 31 46.60  40.800N   25.860E   5.0 4.3
2050,2004  6 27  22 37 18.70  40.800N   25.810E   9.0 4.0
2051,2004  6 28  10 24 13.30  40.830N   25.990E   5.0 3.8
2052,2004  6 28  17 44 31.90  40.410N   19.690E   4.0 4.3
2053,2004  6 29   2 11 52.90  40.860N   26.030E   5.0 4.1
2054,2004  6 29  10 15 13.80  40.750N   25.770E   5.0 3.9
2055,2004  6 29  14 59  2.10  37.320N   28.150E  12.0 3.7
2056,2004  6 29  22  3 47.80  37.830N   21.160E  19.0 3.9
2057,2004  6 30  20  8 33.40  40.820N   25.850E  13.0 3.7
2058,2004  6 30  23 20 28.90  41.090N   26.100E  32.0 3.7
2059,2004  7  1  10 49 59.80  40.890N   26.030E   5.0 3.7
2060,2004  7  3  16 33 37.80  38.630N   20.580E   5.0 3.9
2061,2004  7  3  18 35 59.80  36.920N   27.710E  16.0 3.9
2062,2004  7  6  17 57 10.80  36.170N   29.050E  30.0 3.8
2063,2004  7  8  18 49  0.10  36.350N   20.760E  19.0 3.7
2064,2004  7  9  13 41 16.20  35.990N   21.890E   5.0 3.8
2065,2004  7 12  11 26 29.00  39.310N   20.330E   5.0 3.9
2066,2004  7 15   0 40 35.90  40.670N   23.440E  22.0 3.7
2067,2004  7 15   7 37 45.90  39.920N   23.980E  30.0 3.8
2068,2004  7 15  10 35 12.60  35.690N   27.230E   5.0 3.7
2069,2004  7 15  21 33 32.10  34.710N   24.280E   8.0 4.1
2070,2004  7 15  21 47 24.60  34.310N   23.960E   5.0 3.7
2071,2004  7 15  21 59  8.00  34.420N   24.130E   5.0 3.7
2072,2004  7 24  15 39 22.20  34.730N   24.040E  47.0 3.9
2073,2004  7 24  19  0 56.10  35.370N   23.590E  11.0 4.3
2074,2004  7 24  22 15 19.70  38.510N   25.710E  41.0 3.7
2075,2004  7 25  16 37 37.00  35.500N   27.430E  15.0 4.0
2076,2004  7 25  22 35 41.50  39.590N   23.700E  29.0 3.8
2077,2004  7 25  23  9 46.30  34.720N   19.590E  33.0 3.7
2078,2004  7 26   8 26 11.80  40.650N   20.950E  10.0 4.1
2079,2004  7 27  12 42  5.90  37.670N   21.350E  19.0 3.7
2080,2004  7 27  16 30 30.40  35.430N   23.750E   5.0 3.9
2081,2004  7 27  18 27 14.30  35.350N   23.570E   5.0 3.7
2082,2004  7 28   4  5 51.20  35.310N   23.370E   5.0 4.1
2083,2004  7 29   5 35  3.40  36.580N   27.990E  81.0 4.2
2084,2004  7 30   4 53 39.00  35.540N   22.330E   5.0 3.9
2085,2004  7 31   0 12 21.00  38.820N   25.580E  13.0 3.8
2086,2004  7 31   3 50  7.20  34.850N   25.680E  13.0 3.7
2087,2004  7 31  16 28 45.80  34.160N   25.350E  14.0 3.7
2088,2004  8  1  14 58 39.30  38.960N   20.550E  11.0 3.7
2089,2004  8  1  19 27 18.70  35.760N   21.960E   5.0 3.7
2090,2004  8  3   5 33 36.60  36.890N   27.660E  16.0 4.4
2091,2004  8  3   9 41 14.40  36.930N   27.700E  19.0 4.4
2092,2004  8  3  11 53  8.00  36.900N   27.690E  22.0 3.8
2093,2004  8  3  13 11 30.30  37.020N   27.720E   2.0 4.6
2094,2004  8  3  14 17 50.60  37.030N   27.700E   5.0 4.1
2095,2004  8  3  21 37 42.50  36.900N   27.610E  31.0 3.7
2096,2004  8  4   3  1  7.60  36.920N   27.700E  20.0 5.4
2097,2004  8  4   3 17 56.40  37.070N   27.770E   5.0 3.8
2098,2004  8  4   3 49 33.50  36.940N   27.710E  34.0 4.4
2099,2004  8  4   4  2 41.00  36.870N   27.690E  13.0 3.8
2100,2004  8  4   4 19 47.90  36.890N   27.660E  16.0 4.8
2101,2004  8  4   4 26 22.30  36.990N   27.720E   5.0 4.1
2102,2004  8  4   5 46 12.00  37.040N   27.730E   5.0 4.1
2103,2004  8  4   6 45 44.70  36.910N   27.710E  23.0 3.7
2104,2004  8  4   9  1 54.40  36.090N   21.400E  17.0 4.0
2105,2004  8  4  14 18 47.70  36.980N   27.690E   5.0 5.1
2106,2004  8  4  15 59 39.50  36.930N   27.730E  13.0 4.1
2107,2004  8  5   7 11 13.20  36.850N   27.720E   5.0 3.7
2108,2004  8  5   7 13 36.30  37.010N   27.720E  17.0 4.1
2109,2004  8  5  10 30  7.10  36.960N   27.710E  24.0 4.2
2110,2004  8  6  12  8  9.40  34.810N   24.800E  28.0 4.0
2111,2004  8  7   3 51 45.70  39.400N   20.500E   5.0 3.7
2112,2004  8  9   1 21 58.20  37.990N   27.880E   5.0 3.8
2113,2004  8  9   4 39 32.50  34.990N   25.970E  94.0 4.1
2114,2004  8  9  16  9 16.00  36.190N   22.130E  24.0 3.7
2115,2004  8  9  19 24  8.30  35.610N   21.940E  19.0 3.8
2116,2004  8 10   9 42 59.00  34.450N   24.180E   5.0 3.8
2117,2004  8 10  10 25 52.20  34.790N   24.940E  10.0 4.0
2118,2004  8 11  17 39 13.40  36.190N   25.380E   5.0 3.8
2119,2004  8 13  15 13 44.40  40.840N   26.400E  29.0 3.9
2120,2004  8 18  14 35 57.70  38.540N   21.880E  24.0 3.7
2121,2004  8 18  14 38 59.40  38.550N   21.910E  24.0 3.9
2122,2004  8 18  22  2 12.20  36.150N   27.480E  22.0 3.7
2123,2004  8 18  22 25 44.20  36.190N   27.480E  23.0 4.4
2124,2004  8 18  23  6 36.40  36.130N   27.520E  19.0 4.5
2125,2004  8 18  23  9 55.20  36.170N   27.490E  15.0 3.8
2126,2004  8 19  14  8 23.80  37.520N   20.660E  23.0 3.8
2127,2004  8 20  11 12 17.10  36.450N   27.910E  72.0 4.8
2128,2004  8 21  12 54  3.20  40.820N   21.040E  18.0 4.2
2129,2004  8 24  12 38 50.10  38.580N   23.590E  22.0 4.4
2130,2004  8 24  12 42 53.40  38.660N   23.520E  22.0 3.8
2131,2004  8 25  22 41 18.70  41.340N   19.750E   2.0 3.8
2132,2004  8 26   8  8 14.70  38.610N   22.190E  13.0 4.0
2133,2004  8 27   1  4  3.80  36.720N   21.080E   2.0 3.7
2134,2004  8 28  22 16 47.20  41.340N   19.460E  37.0 4.4
2135,2004  8 30   4 25 31.00  35.960N   21.510E   6.0 3.9
2136,2004  8 30  12 59  9.70  37.040N   27.840E  10.0 3.7
2137,2004  8 30  19  6 41.70  38.870N   21.170E   6.0 3.7
2138,2004  9  2   1 43  4.60  34.360N   25.540E  27.0 3.8
2139,2004  9  2  14 36 55.90  36.910N   27.440E  25.0 3.7
2140,2004  9  3  11 21 18.00  36.970N   27.780E  26.0 3.7
2141,2004  9  5  11 18 56.30  36.940N   27.700E  28.0 3.8
2142,2004  9  9   9 33 21.70  41.990N   20.080E  36.0 3.8
2143,2004  9 10  17 46 10.90  41.800N   24.760E  26.0 3.9
2144,2004  9 10  20 34 24.80  38.460N   25.580E  29.0 3.7
2145,2004  9 12  16 41 18.90  39.120N   20.590E   4.0 4.1
2146,2004  9 14  13 56 30.70  36.590N   21.030E   5.0 3.7
2147,2004  9 14  20 50 25.20  34.880N   25.700E  11.0 3.7
2148,2004  9 15  10 10 29.60  35.090N   26.260E  31.0 3.7
2149,2004  9 15  13 38 57.60  38.650N   20.600E   5.0 4.3
2150,2004  9 16   1 24 16.80  39.800N   20.650E  24.0 4.3
2151,2004  9 17  16 45  9.90  39.520N   24.040E  39.0 3.7
2152,2004  9 20   9  9 11.10  34.790N   25.060E  21.0 4.0
2153,2004  9 21   0 50 14.20  35.620N   29.330E  53.0 3.8
2154,2004  9 21  14 15  4.20  35.280N   27.790E  29.0 4.8
2155,2004  9 25  11 14 10.80  35.600N   22.660E   4.0 3.9
2156,2004  9 25  12 26 14.20  34.300N   25.120E  38.0 3.8
2157,2004  9 26   3  6  1.50  38.310N   24.180E  20.0 4.2
2158,2004  9 26   9 11 26.90  37.850N   29.140E   4.0 3.8
2159,2004  9 26  20  1 45.80  35.880N   23.240E  22.0 3.8
2160,2004 10  1  18 15 57.30  35.560N   21.370E   5.0 4.0
2161,2004 10  2  18 59 24.90  34.360N   26.160E  25.0 3.7
2162,2004 10  3   1 21 56.30  35.280N   27.490E  26.0 4.4
2163,2004 10  3   8  6 58.30  34.550N   25.300E  42.0 4.2
2164,2004 10  5   6  3 37.90  38.150N   20.270E   3.0 3.8
2165,2004 10  5  10 41 30.80  37.220N   20.370E  29.0 4.8
2166,2004 10  5  17 25 49.80  37.800N   26.900E  19.0 3.8
2167,2004 10  7   1  5 13.30  36.500N   26.810E 126.0 5.2
2168,2004 10  7   7 16 55.10  36.600N   22.700E  61.0 4.3
2169,2004 10  8   0 47 51.70  41.420N   21.100E  24.0 4.6
2170,2004 10  8  10 20 17.80  36.240N   22.940E  19.0 3.7
2171,2004 10  8  13 52 37.50  34.540N   27.220E  54.0 4.2
2172,2004 10  8  13 53 32.30  37.910N   26.890E  10.0 3.9
2173,2004 10  8  17  3 16.20  37.830N   26.800E  14.0 3.9
2174,2004 10  8  21  9 48.50  37.730N   26.930E  21.0 3.8
2175,2004 10  9   2 26 24.40  35.200N   24.010E  10.0 3.7
2176,2004 10 10  12 58 24.30  39.110N   23.290E  20.0 3.7
2177,2004 10 11  12 22  6.70  34.620N   24.000E  31.0 4.2
2178,2004 10 13   5 36 22.70  38.740N   23.840E  23.0 3.7
2179,2004 10 13  11 12  3.30  36.700N   21.820E  25.0 3.7
2180,2004 10 14   4 28  8.30  37.890N   21.080E   5.0 3.7
2181,2004 10 21  23 14 55.90  38.700N   26.090E  29.0 3.8
2182,2004 10 24   9 51 57.50  37.900N   19.930E   5.0 3.7
2183,2004 10 24  21 39 43.80  35.090N   23.400E  17.0 4.0
2184,2004 10 25   3 45 37.10  34.950N   21.250E  37.0 3.7
2185,2004 10 26  14 13 20.90  34.690N   24.030E  27.0 3.9
2186,2004 10 26  23 33 27.00  38.960N   26.010E  23.0 3.7
2187,2004 10 27   0 14 54.30  38.110N   20.590E  19.0 3.8
2188,2004 10 28   0 46 34.70  40.180N   21.820E  12.0 3.7
2189,2004 10 28  17 15 33.50  39.080N   26.970E   4.0 3.9
2190,2004 10 29   3  0 27.70  36.530N   21.570E  37.0 3.7
2191,2004 10 29  23 30 34.80  41.170N   19.460E  29.0 3.7
2192,2004 11  4   6 22 37.40  35.860N   23.230E  95.0 5.0
2193,2004 11  5  17 30 19.40  39.230N   27.970E   5.0 4.5
2194,2004 11  8   4  6 55.70  40.250N   19.380E   7.0 3.7
2195,2004 11 10  16 42 32.60  36.620N   28.010E  25.0 3.7
2196,2004 11 15  14 16 12.80  35.330N   27.860E  23.0 3.9
2197,2004 11 18   0 21 59.20  35.930N   21.840E   6.0 4.2
2198,2004 11 18  17 54 25.70  34.630N   26.280E  39.0 3.7
2199,2004 11 21   3 21 41.30  34.100N   26.360E  22.0 3.8
2200,2004 11 21  20 49 46.40  41.110N   19.540E  39.0 3.8
2201,2004 11 22  19 13 32.90  38.480N   25.570E  27.0 4.6
2202,2004 11 22  22 55 34.00  38.490N   25.610E  33.0 3.8
2203,2004 11 23   2 26 12.50  40.350N   20.600E  11.0 5.4
2204,2004 11 23   2 59 17.60  40.200N   20.670E  11.0 4.1
2205,2004 11 24  23 55 24.00  35.260N   22.540E  16.0 4.0
2206,2004 11 26  20  4 38.00  35.460N   22.340E   7.0 3.8
2207,2004 11 27  10 55 19.90  37.630N   20.580E  16.0 3.8
2208,2004 11 27  23 57 36.00  41.250N   20.150E   7.0 3.8
2209,2004 11 29   6 23 53.80  36.890N   21.550E  43.0 4.2
2210,2004 11 29  10 13 47.60  36.660N   21.220E  18.0 3.7
2211,2004 11 29  16  4 14.10  36.620N   21.250E  22.0 3.7
2212,2004 11 30   0 37 24.70  34.570N   25.480E  25.0 4.2
2213,2004 11 30   5  1  3.10  36.670N   21.230E  18.0 3.8
2214,2004 11 30   5 30 30.20  38.120N   27.160E  32.0 3.7
2215,2004 12  2   3 36  5.00  37.890N   21.540E   6.0 3.8
2216,2004 12  2  15 51 49.10  39.200N   27.940E  30.0 4.3
2217,2004 12  2  18 41 45.30  38.080N   20.150E  15.0 3.7
2218,2004 12  7  14 32 45.90  39.940N   19.670E  15.0 4.6
2219,2004 12  7  14 59  1.20  39.760N   19.650E  21.0 4.1
2220,2004 12 11  11 40 53.20  37.700N   20.830E  22.0 3.8
2221,2004 12 11  20  1 37.00  35.070N   22.860E   5.0 3.9
2222,2004 12 11  21  3 19.00  39.240N   21.680E  15.0 4.2
2223,2004 12 12  22 21 37.10  38.200N   20.210E  14.0 3.9
2224,2004 12 14   1 54 28.30  34.880N   25.750E  10.0 3.7
2225,2004 12 14  21 35 27.50  40.300N   20.660E   5.0 3.7
2226,2004 12 15   4 27 13.50  40.770N   27.780E  10.0 3.9
2227,2004 12 16  17 47 49.10  35.060N   23.530E  28.0 3.8
2228,2004 12 17  18 45 32.00  38.710N   22.740E  15.0 4.3
2229,2004 12 18   1 27 17.60  38.690N   22.740E  17.0 4.0
2230,2004 12 19  23 32 33.60  36.700N   21.300E  28.0 4.2
2231,2004 12 20   2 38 39.90  38.000N   20.590E  33.0 4.0
2232,2004 12 20  23  2 13.70  37.010N   28.280E  19.0 5.1
2233,2004 12 21   0 23 34.40  37.060N   28.210E  18.0 3.9
2234,2004 12 21   8 19 25.00  38.680N   22.760E  23.0 3.8
2235,2004 12 22   5 56  1.90  36.690N   21.230E  21.0 3.9
2236,2004 12 24  13  1 27.20  36.510N   21.030E  14.0 4.0
2237,2004 12 26   8  5 40.00  36.190N   27.260E  14.0 4.3
2238,2004 12 26  10 56 26.30  34.870N   25.320E  15.0 3.7
2239,2004 12 28  15 37 55.90  37.080N   28.230E  20.0 3.7
2240,2004 12 28  20 34 10.70  37.090N   28.240E  18.0 4.4
2241,2004 12 29  16  3 23.60  34.950N   24.900E  28.0 3.7
2242,2004 12 30   1 43 12.80  37.020N   28.250E  21.0 3.7
2243,2004 12 30   7 35 35.50  39.120N   22.290E  98.0 4.3
2244,2004 12 30  10 32  0.30  37.030N   28.130E  26.0 3.7
2245,2004 12 30  22 15  8.00  36.410N   21.570E  72.0 3.7
2246,2005  1  3  21 44 28.90  37.640N   23.330E 123.0 4.5
2247,2005  1  8  14 18 54.90  37.180N   21.090E  16.0 4.2
2248,2005  1 10   1 12 22.60  35.750N   29.380E   5.0 3.9
2249,2005  1 10  23 48 49.10  37.010N   28.040E  30.0 4.8
2250,2005  1 10  23 50 27.20  36.810N   27.660E   2.0 4.8
2251,2005  1 11   0  2 17.70  37.030N   27.790E   2.0 4.3
2252,2005  1 11   0 18 41.00  36.970N   27.810E  10.0 4.2
2253,2005  1 11   4 35 57.50  37.010N   27.850E  30.0 5.0
2254,2005  1 11   8 33 35.30  36.940N   27.780E  26.0 3.8
2255,2005  1 11   9 18 12.20  36.950N   27.720E  25.0 3.7
2256,2005  1 12  11 25 41.40  39.240N   27.850E   2.0 4.0
2257,2005  1 12  14  8 47.30  37.160N   26.650E   5.0 3.7
2258,2005  1 12  15 53  3.20  39.280N   27.830E  16.0 3.8
2259,2005  1 13   0 35 50.80  36.970N   27.840E  27.0 3.7
2260,2005  1 13   1 11 28.50  36.870N   27.740E  26.0 3.7
2261,2005  1 13  11  0 46.70  39.250N   27.860E  10.0 4.3
2262,2005  1 13  13 37 21.60  39.250N   27.980E  10.0 3.7
2263,2005  1 13  13 39  3.00  39.320N   27.860E  10.0 4.1
2264,2005  1 13  16 12 42.30  39.250N   27.870E  10.0 3.8
2265,2005  1 14   2 19 21.50  39.460N   28.640E  10.0 3.8
2266,2005  1 14  17  0 10.30  34.940N   26.350E  55.0 3.8
2267,2005  1 14  17 13 50.70  35.620N   26.250E  30.0 4.0
2268,2005  1 14  17 33 52.30  35.590N   26.250E  34.0 3.7
2269,2005  1 15  13 58 49.60  37.860N   26.850E  10.0 3.8
2270,2005  1 16   3 21 11.10  40.100N   19.690E  24.0 3.8
2271,2005  1 17  15 56 16.30  37.500N   20.330E  41.0 3.8
2272,2005  1 18  17 27 33.70  36.860N   27.640E   3.0 3.8
2273,2005  1 19  18 34 16.90  34.840N   24.870E  12.0 3.7
2274,2005  1 20  23 27 37.70  39.250N   27.340E  11.0 4.0
2275,2005  1 21   0 54 51.10  35.910N   22.950E  31.0 3.7
2276,2005  1 21  13 55 27.60  36.150N   27.280E  28.0 3.7
2277,2005  1 22  19 53 30.30  34.140N   26.070E  27.0 3.9
2278,2005  1 23  20 54 56.60  36.900N   27.620E   6.0 4.2
2279,2005  1 24   6  7 27.10  36.900N   27.660E  24.0 3.7
2280,2005  1 24   7 53 29.00  35.120N   24.200E  55.0 3.7
2281,2005  1 26  14 43 27.00  37.630N   21.990E  24.0 3.8
2282,2005  1 26  14 56 43.40  37.610N   21.980E  23.0 4.0
2283,2005  1 26  15  2 36.10  37.610N   21.980E  25.0 3.8
2284,2005  1 26  15  4 55.80  37.620N   22.020E  15.0 4.0
2285,2005  1 26  16  9 17.10  37.620N   22.030E  11.0 3.8
2286,2005  1 26  22 11  0.30  35.910N   29.300E   2.0 3.7
2287,2005  1 26  22 53 14.10  34.990N   23.130E  22.0 3.8
2288,2005  1 28   0 17 38.80  34.370N   23.100E  18.0 4.6
2289,2005  1 29  11 35 35.60  38.190N   26.770E  64.0 3.9
2290,2005  1 29  14 48  2.70  38.210N   29.520E  10.0 4.0
2291,2005  1 29  18 52 27.10  38.130N   26.930E  35.0 4.6
2292,2005  1 29  19  3 53.60  38.140N   26.930E  34.0 3.9
2293,2005  1 31   1  5 29.10  37.410N   20.110E  16.0 5.3
2294,2005  1 31   5 50 27.60  37.110N   28.670E  18.0 3.9
2295,2005  1 31  17  9 35.80  40.080N   24.800E  25.0 3.8
2296,2005  2  1   0 48 22.30  39.900N   24.010E  27.0 3.7
2297,2005  2  1  17 48  5.20  37.000N   20.590E  10.0 3.7
2298,2005  2  1  18 52 16.90  36.760N   20.280E   9.0 3.9
2299,2005  2  2  13 35 41.10  36.830N   20.150E  30.0 3.7
2300,2005  2  3   4 10 39.30  36.720N   21.350E  22.0 3.8
2301,2005  2  5  10 37 42.20  38.810N   25.600E  18.0 3.7
2302,2005  2  5  22  4 29.70  39.110N   20.640E   5.0 3.9
2303,2005  2  8  16 38 29.50  34.540N   26.560E  81.0 4.6
2304,2005  2  9  14 38 35.10  35.630N   29.720E   5.0 3.7
2305,2005  2 12   1 47 19.70  38.610N   23.550E  18.0 3.9
2306,2005  2 12  12 13 44.00  39.960N   19.660E  19.0 4.6
2307,2005  2 18   6 19 34.80  34.450N   25.640E  41.0 4.2
2308,2005  2 19  11 49 16.80  38.660N   20.680E   5.0 3.7
2309,2005  2 19  17 38 32.90  34.050N   21.740E  10.0 4.1
2310,2005  2 20  15 38 14.30  34.770N   23.500E  37.0 4.2
2311,2005  2 21   0 33 18.90  35.970N   22.730E  58.0 3.8
2312,2005  2 23  20 15 22.60  35.030N   24.610E  12.0 3.9
2313,2005  3  1   7 38 43.30  35.760N   29.090E  18.0 3.7
2314,2005  3  7  20 14 40.90  36.180N   21.850E  36.0 3.9
2315,2005  3  9   8 11 39.50  35.270N   21.310E  46.0 4.4
