,2000  1  1   1 19 28.30  41.950N   20.630E   5.0 4.8
236,2000  6  6   2 26 11.70  35.260N   26.980E   5.0 3.7
237,2000  6  7  22 46  6.80  37.940N   28.780E  10.0 3.8
238,2000  6  7   0  5 11.00  37.840N   28.930E  33.0 3.9
239,2000  6  8  21 42 52.10  34.890N   24.210E  58.0 4.1
240,2000  6  9  23 17 30.40  36.390N   22.150E   7.0 3.8
241,2000  6 11  16 29 39.40  38.460N   26.910E  37.0 3.7
242,2000  6 12   5 42 29.60  34.820N   24.450E  18.0 4.0
243,2000  6 13   1 43 18.50  35.120N   27.190E  37.0 5.2
244,2000  6 13   1 49 33.00  35.650N   27.120E  12.0 3.8
245,2000  6 13   1 51 12.60  35.130N   27.230E  26.0 4.1
246,2000  6 13   3  2 36.00  35.250N   27.210E   5.0 3.7
247,2000  6 13   4 21 53.00  35.690N   27.000E  10.0 3.8
248,2000  6 13   5 34 44.20  35.240N   26.690E  15.0 4.1
249,2000  6 13  12 42 56.70  35.240N   27.140E   5.0 3.7
250,2000  6 14   0  4 49.60  34.840N   25.610E   5.0 3.7
251,2000  6 15  16 10 20.70  35.280N   27.050E   4.0 4.5
252,2000  6 15  16 50 16.00  35.230N   27.100E   5.0 3.7
253,2000  6 15  19 31 58.30  35.220N   27.170E   5.0 3.8
254,2000  6 15  21 30 32.30  34.360N   19.770E  34.0 4.8
255,2000  6 16   0 14 43.80  35.270N   27.110E   5.0 3.7
256,2000  6 16   9 26 56.20  35.390N   26.960E   5.0 3.8
257,2000  6 16  14 21 52.50  35.250N   27.220E   5.0 3.9
258,2000  6 16  14 29  7.90  35.260N   27.160E   5.0 3.7
259,2000  6 16  23 30 27.70  36.240N   22.310E   5.0 3.8
260,2000  6 17  11 40 55.70  35.290N   27.250E   5.0 4.7
261,2000  6 17  22 29 28.30  35.290N   27.200E   5.0 4.5
262,2000  6 18   3 35  1.50  36.220N   22.270E  31.0 4.0
263,2000  6 19   0 41  1.70  36.090N   22.140E   5.0 3.8
264,2000  6 19  12 45 19.10  38.260N   25.250E  10.0 3.7
265,2000  6 19  13 36 13.00  35.890N   27.670E  36.0 3.7
266,2000  6 19  18 58 19.60  35.340N   27.030E   5.0 3.7
267,2000  6 20   6  7 12.10  35.220N   27.090E   5.0 3.9
268,2000  6 20   6 11 56.40  39.570N   27.910E   5.0 3.9
269,2000  6 20   6 12 26.30  35.220N   27.150E  16.0 3.8
270,2000  6 20   6 15 41.20  36.160N   22.360E  18.0 3.9
271,2000  6 20  17 10 37.00  39.590N   27.690E   5.0 3.7
272,2000  6 20  20 31 46.40  36.160N   22.130E   5.0 3.7
273,2000  6 20  22 16 42.70  35.350N   27.110E   5.0 3.7
274,2000  6 21   2  9  2.00  39.360N   20.500E   5.0 4.0
275,2000  6 21  19 41 58.50  34.690N   25.630E   5.0 3.7
276,2000  6 24  16 55 15.60  36.840N   21.260E   5.0 3.7
277,2000  6 24  22 26 11.80  36.070N   22.160E   5.0 3.8
278,2000  6 25  17 18 44.20  34.750N   27.420E  24.0 3.9
279,2000  6 25  19 52 56.90  36.120N   22.230E   5.0 3.7
280,2000  6 25  23 25 12.30  36.490N   24.220E  86.0 3.9
281,2000  6 27  19 37 22.50  36.040N   22.140E   5.0 3.9
282,2000  6 29   3 28 24.80  37.830N   28.760E  32.0 4.0
